Time Index,Year,Month,Counts
301,1947,1,1124
302,1947,2,885
303,1947,3,951
304,1947,4,736
305,1947,5,719
306,1947,6,662
307,1947,7,601
308,1947,8,490
309,1947,9,777
310,1947,10,863
311,1947,11,1158
312,1947,12,1564
313,1948,1,1446
314,1948,2,1491
315,1948,3,970
316,1948,4,858
317,1948,5,708
318,1948,6,446
319,1948,7,566
320,1948,8,682
321,1948,9,476
322,1948,10,762
323,1948,11,944
324,1948,12,1603
325,1949,1,1634
326,1949,2,1719
327,1949,3,1321
328,1949,4,920
329,1949,5,761
330,1949,6,642
331,1949,7,567
332,1949,8,785
333,1949,9,811
334,1949,10,1208
335,1949,11,1435
336,1949,12,1756
337,1950,1,2434
338,1950,2,1993
339,1950,3,1404
340,1950,4,1050
341,1950,5,1040
342,1950,6,695
343,1950,7,829
344,1950,8,738
345,1950,9,879
346,1950,10,1595
347,1950,11,1620
348,1950,12,2239
349,1951,1,2058
350,1951,2,2185
351,1951,3,1506
352,1951,4,1045
353,1951,5,722
354,1951,6,612
355,1951,7,725
356,1951,8,1019
357,1951,9,945
358,1951,10,1677
359,1951,11,1561
360,1951,12,2418
361,1952,1,2232
362,1952,2,2450
363,1952,3,1744
364,1952,4,1355
365,1952,5,1027
366,1952,6,1016
367,1952,7,814
368,1952,8,898
369,1952,9,1292
370,1952,10,1575
371,1952,11,1662
372,1952,12,2550
373,1953,1,2204
374,1953,2,2558
375,1953,3,1714
376,1953,4,1342
377,1953,5,1108
378,1953,6,883
379,1953,7,929
380,1953,8,992
381,1953,9,1144
382,1953,10,1491
383,1953,11,1891
384,1953,12,2463
385,1954,1,2500
386,1954,2,2631
387,1954,3,2132
388,1954,4,1451
389,1954,5,1255
390,1954,6,863
391,1954,7,956
392,1954,8,1011
393,1954,9,1203
394,1954,10,1844
395,1954,11,1871
396,1954,12,3194
397,1955,1,3368
398,1955,2,2540
399,1955,3,2390
400,1955,4,1504
401,1955,5,1467
402,1955,6,911
403,1955,7,1023
404,1955,8,1171
405,1955,9,1596
406,1955,10,2024
407,1955,11,2228
408,1955,12,3336
409,1956,1,3183
410,1956,2,2659
411,1956,3,2577
412,1956,4,2171
413,1956,5,1398
414,1956,6,1061
415,1956,7,1150
416,1956,8,1332
417,1956,9,1761
418,1956,10,2441
419,1956,11,3903
420,1956,12,3277
421,1957,1,3368
422,1957,2,3162
423,1957,3,2955
424,1957,4,2062
425,1957,5,1330
426,1957,6,1271
427,1957,7,1373
428,1957,8,1540
429,1957,9,2056
430,1957,10,2714
431,1957,11,2824
432,1957,12,4407
433,1958,1,3318
434,1958,2,3619
435,1958,3,3258
436,1958,4,2687
437,1958,5,1413
438,1958,6,1202
439,1958,7,1262
440,1958,8,1597
441,1958,9,2377
442,1958,10,2371
443,1958,11,2753
444,1958,12,4923
445,1959,1,3770
446,1959,2,3817
447,1959,3,3001
448,1959,4,2238
449,1959,5,1551
450,1959,6,1351
451,1959,7,1515
452,1959,8,1787
453,1959,9,2931
454,1959,10,3367
455,1959,11,3482
456,1959,12,5395
457,1960,1,4391
458,1960,2,4598
459,1960,3,3951
460,1960,4,2453
461,1960,5,1783
462,1960,6,1568
463,1960,7,1599
464,1960,8,1944
465,1960,9,2874
466,1960,10,3862
467,1960,11,3952
468,1960,12,6159
469,1961,1,5213
470,1961,2,5171
471,1961,3,4346
472,1961,4,2921
473,1961,5,2504
474,1961,6,1966
475,1961,7,2128
476,1961,8,3166
477,1961,9,3682
478,1961,10,5567
479,1961,11,5184
480,1961,12,7181
481,1962,1,6185
482,1962,2,6601
483,1962,3,4603
484,1962,4,3351
485,1962,5,2936
486,1962,6,2336
487,1962,7,2485
488,1962,8,3026
489,1962,9,4107
490,1962,10,6172
491,1962,11,6798
492,1962,12,8325
493,1963,1,7241
494,1963,2,6584
495,1963,3,5524
496,1963,4,3754
497,1963,5,3268
498,1963,6,2690
499,1963,7,2720
500,1963,8,4071
501,1963,9,5063
502,1963,10,6959
503,1963,11,7142
504,1963,12,10504
505,1964,1,8139
506,1964,2,8552
507,1964,3,6842
508,1964,4,4195
509,1964,5,4163
510,1964,6,3205
511,1964,7,2993
512,1964,8,4308
513,1964,9,5469
514,1964,10,7750
515,1964,11,8672
516,1964,12,11641
517,1965,1,9716
518,1965,2,11456
519,1965,3,8467
520,1965,4,5430
521,1965,5,4992
522,1965,6,3478
523,1965,7,3955
524,1965,8,5725
525,1965,9,7109
526,1965,10,9266
527,1965,11,9789
528,1965,12,14859
529,1966,1,12187
530,1966,2,11207
531,1966,3,10019
532,1966,4,6678
533,1966,5,6692
534,1966,6,4377
535,1966,7,5105
536,1966,8,7678
537,1966,9,7285
538,1966,10,10992
539,1966,11,10146
540,1966,12,15729
541,1967,1,14587
542,1967,2,12457
543,1967,3,11145
544,1967,4,7998
545,1967,5,6875
546,1967,6,6285
547,1967,7,7487
548,1967,8,7701
549,1967,9,7574
550,1967,10,9441
551,1967,11,10765
552,1967,12,17169
553,1968,1,14541
554,1968,2,14265
555,1968,3,13087
556,1968,4,7891
557,1968,5,7368
558,1968,6,6059
559,1968,7,7052
560,1968,8,8550
561,1968,9,7328
562,1968,10,10409
563,1968,11,12176
564,1968,12,21328
565,1969,1,13809
566,1969,2,15323
567,1969,3,14609
568,1969,4,9314
569,1969,5,8645
570,1969,6,7192
571,1969,7,8432
572,1969,8,10029
573,1969,9,8701
574,1969,10,11678
575,1969,11,15962
576,1969,12,24415
577,1970,1,16423
578,1970,2,16902
579,1970,3,17298
580,1970,4,12086
581,1970,5,9974
582,1970,6,8837
583,1970,7,10463
584,1970,8,12917
585,1970,9,10338
586,1970,10,15552
587,1970,11,18597
588,1970,12,28193
589,1971,1,19761
590,1971,2,22278
591,1971,3,21873
592,1971,4,13623
593,1971,5,17055
594,1971,6,9995
595,1971,7,12554
596,1971,8,14615
597,1971,9,12508
598,1971,10,18974
599,1971,11,22218
600,1971,12,34035
601,1972,1,24842
602,1972,2,22372
603,1972,3,24789
604,1972,4,16299
605,1972,5,13944
606,1972,6,11207
607,1972,7,14674
608,1972,8,16204
609,1972,9,13593
610,1972,10,21782
611,1972,11,23380
612,1972,12,39376
613,1973,1,27925
614,1973,2,26995
615,1973,3,29265
616,1973,4,21897
617,1973,5,17684
618,1973,6,14085
619,1973,7,18839
620,1973,8,21250
621,1973,9,17313
622,1973,10,23174
623,1973,11,28945
624,1973,12,50209
625,1974,1,39530
626,1974,2,30791
627,1974,3,34527
628,1974,4,25443
629,1974,5,21898
630,1974,6,14890
631,1974,7,18221
632,1974,8,24627
633,1974,9,20779
634,1974,10,28630
635,1974,11,32624
636,1974,12,56982
637,1975,1,44209
638,1975,2,35180
639,1975,3,37711
640,1975,4,26958
641,1975,5,23752
642,1975,6,15424
643,1975,7,17732
644,1975,8,27650
645,1975,9,20354
646,1975,10,30404
647,1975,11,36390
648,1975,12,61770
649,1976,1,47030
650,1976,2,39070
651,1976,3,38052
652,1976,4,27212
653,1976,5,24134
654,1976,6,13312
655,1976,7,17444
656,1976,8,27632
657,1976,9,21404
658,1976,10,31572
659,1976,11,36472
660,1976,12,60696
661,1977,1,48176
662,1977,2,35792
663,1977,3,36376
664,1977,4,29784
665,1977,5,21296
666,1977,6,17032
667,1977,7,22804
668,1977,8,27476
669,1977,9,21168
670,1977,10,29928
671,1977,11,37516
672,1977,12,62156
673,1978,1,44672
674,1978,2,40500
675,1978,3,36608
676,1978,4,28524
677,1978,5,23060
678,1978,6,15760
679,1978,7,20892
680,1978,8,28992
681,1978,9,23048
682,1978,10,35052
683,1978,11,40564
684,1978,12,69304
685,1979,1,49968
686,1979,2,42068
687,1979,3,41512
688,1979,4,29272
689,1979,5,25868
690,1979,6,18216
691,1979,7,23166
692,1979,8,29808
693,1979,9,25232
694,1979,10,33780
695,1979,11,43916
696,1979,12,69576
697,1980,1,48224
698,1980,2,51353
699,1980,3,46784
700,1980,4,31284
701,1980,5,26681
702,1980,6,22817
703,1980,7,26944
704,1980,8,32902
705,1980,9,25567
706,1980,10,37113
707,1980,11,44788
708,1980,12,70706
709,1981,1,49699
710,1981,2,48783
711,1981,3,46172
712,1981,4,33932
713,1981,5,29105
714,1981,6,24159
715,1981,7,29089
716,1981,8,33134
717,1981,9,29011
718,1981,10,39303
719,1981,11,44924
720,1981,12,70726
721,1982,1,50300
722,1982,2,46463
723,1982,3,42435
724,1982,4,37339
725,1982,5,29408
726,1982,6,24699
727,1982,7,30412
728,1982,8,35463
729,1982,9,30226
730,1982,10,38294
731,1982,11,44954
732,1982,12,71733
733,1983,1,50086
734,1983,2,48477
735,1983,3,46567
736,1983,4,35892
737,1983,5,29343
738,1983,6,26708
739,1983,7,34600
740,1983,8,36401
741,1983,9,33776
742,1983,10,42426
743,1983,11,47551
744,1983,12,76638
745,1984,1,50805
746,1984,2,52441
747,1984,3,51860
748,1984,4,45661
749,1984,5,34516
750,1984,6,31611
751,1984,7,35560
752,1984,8,39301
753,1984,9,37164
754,1984,10,47088
755,1984,11,56558
756,1984,12,85046
757,1985,1,57417
758,1985,2,63805
759,1985,3,63268
760,1985,4,52035
761,1985,5,40792
762,1985,6,39359
763,1985,7,39396
764,1985,8,49867
765,1985,9,42707
766,1985,10,54258
767,1985,11,71207
768,1985,12,95447
769,1986,1,67178
770,1986,2,69783
771,1986,3,67044
772,1986,4,57089
773,1986,5,41080
774,1986,6,39461
775,1986,7,43041
776,1986,8,50437
777,1986,9,48836
778,1986,10,60612
779,1986,11,79483
780,1986,12,109380
781,1987,1,77730
782,1987,2,85908
783,1987,3,70152
784,1987,4,62820
785,1987,5,48180
786,1987,6,47103
787,1987,7,54048
788,1987,8,53600
789,1987,9,60240
790,1987,10,76776
791,1987,11,92300
792,1987,12,115456
793,1988,1,83545
794,1988,2,85689
795,1988,3,75735
796,1988,4,60824
797,1988,5,49761
798,1988,6,51344
799,1988,7,60480
800,1988,8,58320
801,1988,9,64920
802,1988,10,76208
803,1988,11,82082
804,1988,12,115984
805,1989,1,79794
806,1989,2,89451
807,1989,3,78354
808,1989,4,65079
809,1989,5,47862
810,1989,6,55107
811,1989,7,63010
812,1989,8,64889
813,1989,9,69817
814,1989,10,74272
815,1989,11,87350
816,1989,12,126093
817,1990,1,98232
818,1990,2,93600
819,1990,3,88120
820,1990,4,78138
821,1990,5,55242
822,1990,6,57438
823,1990,7,68288
824,1990,8,69432
825,1990,9,68030
826,1990,10,80355
827,1990,11,92631
828,1990,12,126504
829,1991,1,88584
830,1991,2,94010
831,1991,3,88410
832,1991,4,62645
833,1991,5,55230
834,1991,6,58256
835,1991,7,69860
836,1991,8,69399
837,1991,9,70587
838,1991,10,81389
839,1991,11,98956
840,1991,12,126144
841,1992,1,92612
842,1992,2,115790
843,1992,3,98846
844,1992,4,79520
845,1992,5,61880
846,1992,6,58180
847,1992,7,80201
848,1992,8,70037
849,1992,9,70704
850,1992,10,83699
851,1992,11,103356
852,1992,12,140856
853,1993,1,112104
854,1993,2,118848
855,1993,3,107172
856,1993,4,88308
857,1993,5,67639
858,1993,6,62361
859,1993,7,79365
860,1993,8,74580
861,1993,9,78792
862,1993,10,99780
863,1993,11,116857
864,1993,12,151172
865,1994,1,124446
866,1994,2,140616
867,1994,3,129402
868,1994,4,96960
869,1994,5,73296
870,1994,6,69990
871,1994,7,93401
872,1994,8,88296
873,1994,9,92183
874,1994,10,114632
875,1994,11,131628
876,1994,12,167715
877,1995,1,137792
878,1995,2,144540
879,1995,3,132570
880,1995,4,110097
881,1995,5,80179
882,1995,6,73931
883,1995,7,102908
884,1995,8,92582
885,1995,9,95115
886,1995,10,116850
887,1995,11,135015
888,1995,12,187216
889,1996,1,145673
890,1996,2,160848
891,1996,3,141424
892,1996,4,119220
893,1996,5,86590
894,1996,6,87815
895,1996,7,105712
896,1996,8,101056
897,1996,9,100944
898,1996,10,121754
899,1996,11,149226
900,1996,12,208458
901,1997,1,155097
902,1997,2,166175
903,1997,3,149294
904,1997,4,112302
905,1997,5,87836
906,1997,6,83482
907,1997,7,105910
908,1997,8,99216
909,1997,9,98746
910,1997,10,114979
911,1997,11,140358
912,1997,12,183830
913,1998,1,149175
914,1998,2,158391
915,1998,3,130373
916,1998,4,115704
917,1998,5,81383
918,1998,6,80269
919,1998,7,106540
920,1998,8,93641
921,1998,9,102642
922,1998,10,121796
923,1998,11,149563
924,1998,12,195262
925,1999,1,156378
926,1999,2,169078
927,1999,3,145303
928,1999,4,121548
929,1999,5,89774
930,1999,6,87708
931,1999,7,111675
932,1999,8,104080
933,1999,9,114310
934,1999,10,132917
935,1999,11,169317
936,1999,12,205390
937,2000,1,169404
938,2000,2,192856
